"id" "y" "x"
"608" 599 85 268.84
"609" 600 28 41.4
"610" 601 73 52.73
"611" 602 356 203.76
"612" 603 206 131.17
"613" 604 87 60.94
"614" 605 18 8.4
"615" 606 87 71.82
"616" 607 420 386.31
"617" 608 93 67.98
"618" 609 287 145
"619" 610 59 33.47
"620" 611 110 56.56
"621" 612 381 283.21
"622" 613 61 30.26
"623" 614 24 15.42
"624" 615 303 251.11
"625" 616 2 1.49
"626" 617 238 217.28
"627" 618 28 27.49
"628" 619 601 230.78
"629" 620 13 21.36
"630" 621 1 2.64
"631" 622 19 14.58
"632" 623 187 113.59
"633" 624 110 87.09
"634" 625 344 179.8
"635" 626 185 250.43
"636" 627 62 44.6
"637" 628 101 78.2
"638" 629 36 44.55
"639" 630 35 32.72
"640" 631 60 80.2
"641" 632 726 451.66
"642" 633 120 84.91
"643" 634 230 99.84
"644" 635 166 78.99
"645" 636 110 39.84
"646" 637 44 16.99
"647" 638 314 197.65
"648" 639 55 45.75
"649" 640 90 163.9
"650" 641 36 35.14
"651" 642 7 7.36
"652" 643 2 1.8
"653" 644 116 58.59
"654" 645 63 32.21
"655" 646 216 90.27
"656" 647 123 74.46
"657" 648 121 88.88
"658" 649 154 89.26
"659" 650 267 183.24
"660" 651 17 11.56
"661" 652 249 248.65
"662" 653 20 12
"663" 654 145 77.4
"664" 655 92 106.18
"665" 656 448 222.27
"666" 657 26 19.65
"667" 658 32 22.29
"668" 659 125 99.53
"669" 660 179 136.79
"670" 661 481 316.92
"671" 662 301 220.04
"672" 663 396 267.14
"673" 664 6 5.51
"674" 665 131 60.32
"675" 666 106 85.97
"676" 667 571 381.22
"677" 668 45 63.32
"678" 669 183 64.55
"679" 670 106 42.22
"680" 671 15 9.66
"681" 672 546 197.5
"682" 673 240 129.91
"683" 674 132 58.61
"684" 675 922 503.73
"685" 676 507 480.27
"686" 677 20 25.48
"688" 678 188 106.34
"689" 679 105 86.94
"690" 680 223 165.75
"691" 681 397 197.12
"692" 682 13 11.33
"693" 683 213 153.66
"694" 684 17 73.95
"695" 685 379 156.52
"696" 686 136 165.83
"697" 687 57 41.06
"698" 688 45 39.82
"699" 689 511 248.05
"700" 690 13 4.47
"701" 691 26 131.37
"702" 692 574 229.27
"703" 693 123 118.57
"704" 694 138 139.84
"706" 695 49 29.07
"707" 696 96 51.77
"708" 697 3 1.56
"709" 698 34 22.96
"710" 699 136 88.19
"711" 700 117 51.72
"712" 701 443 310.3
"713" 702 282 168.38
"714" 703 189 101.18
"715" 704 88 69.51
"716" 705 144 90.22
"717" 706 199 121.87
"718" 707 218 113.21
"719" 708 191 79.3
"720" 709 77 56.49
"721" 710 25 14.84
"722" 711 2 1.74
"723" 712 147 119.81
"724" 713 22 17.96
"725" 714 28 21.48
"726" 715 493 276.72
"727" 716 8 6.36
"728" 717 4 0.88
"729" 718 425 273.23
"730" 719 286 190.47
"731" 720 193 125.59
"733" 721 455 271.12
"734" 722 755 412.11
"735" 723 20 15.45
"736" 724 18 29.38
"737" 725 61 27.08
"738" 726 330 163.69
